timestamp,station,borough,ridership,transfers,hour
2026-04-01 01:00:00,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,2,0,1
2026-04-01 01:00:00,"23 St (F,M)",Manhattan,34,0,1
2026-04-01 01:00:00,"Briarwood (E,F)",Queens,1,0,1
2026-04-01 01:00:00,"Elmhurst Av (M,R)",Queens,1,0,1
2026-04-01 01:00:00,Christopher St-Stonewall (1),Manhattan,2,0,1
2026-04-01 01:00:00,Junius St (3),Brooklyn,8,4,1
2026-04-01 01:00:00,Pennsylvania Av (3),Brooklyn,7,0,1
2026-04-01 01:00:00,"14 St/6 Av (1,2,3,L,F,M)",Manhattan,5,1,1
2026-04-01 01:00:00,"Broad St (J,Z)",Manhattan,1,0,1
2026-04-01 01:00:00,Park Pl (S),Brooklyn,1,0,1
2026-04-01 01:00:00,"86 St (C,B)",Manhattan,9,0,1
2026-04-01 01:00:00,Lafayette Av (C),Brooklyn,1,0,1
2026-04-01 01:00:00,"Nostrand Av (A,C)",Brooklyn,12,0,1
2026-04-01 01:00:00,"Forest Hills-71 Av (E,F,M,R)",Queens,6,0,1
2026-04-01 01:00:00,Van Cortlandt Park-242 St (1),Bronx,3,0,1
2026-04-01 01:00:00,215 St (1),Manhattan,3,0,1
2026-04-01 01:00:00,50 St (1),Manhattan,1,0,1
2026-04-01 01:00:00,"36 St (D,N,R)",Brooklyn,4,0,1
2026-04-01 01:00:00,Hunts Point Av (6),Bronx,1,0,1
2026-04-01 01:00:00,"4 Av-9 St (F,G,R)",Brooklyn,7,1,1
2026-04-01 01:00:00,"Grand Central-42 St (4,5,6,7,S)",Manhattan,20,0,1
2026-04-01 01:00:00,Lafayette Av (C),Brooklyn,6,0,1
2026-04-01 01:00:00,"Tremont Av (B,D)",Bronx,1,0,1
2026-04-01 01:00:00,Union St (R),Brooklyn,1,0,1
2026-04-01 01:00:00,86 St (1),Manhattan,1,0,1
2026-04-01 01:00:00,"72 St (1,2,3)",Manhattan,3,0,1
2026-04-01 01:00:00,3 Av-138 St (6),Bronx,9,0,1
2026-04-01 01:00:00,34 St-Hudson Yards (7),Manhattan,2,0,1
2026-04-01 01:00:00,"Brooklyn Bridge-City Hall/Chambers St (4,5,6,J,Z)",Manhattan,2,0,1
2026-04-01 01:00:00,"Jay St-MetroTech (A,C,F,R)",Brooklyn,4,0,1
2026-04-01 01:00:00,"49 St (N,R,W)",Manhattan,1,0,1
2026-04-01 01:00:00,"Utica Av (A,C)",Brooklyn,1,1,1
2026-04-01 01:00:00,Liberty Av (C),Brooklyn,1,0,1
2026-04-01 01:00:00,"Nevins St (2,3,4,5)",Brooklyn,3,0,1
2026-04-01 01:00:00,Nostrand Av (3),Brooklyn,1,1,1
2026-04-01 01:00:00,Westchester Sq-E Tremont Av (6),Bronx,1,0,1
2026-04-01 01:00:00,Fordham Rd (4),Bronx,1,0,1
2026-04-01 01:00:00,"Broadway-Lafayette St/Bleecker St (6,B,D,F,M)",Manhattan,5,0,1
2026-04-01 01:00:00,57 St (M),Manhattan,36,0,1
2026-04-01 01:00:00,"E 180 St (2,5)",Bronx,14,2,1
2026-04-01 01:00:00,90 St-Elmhurst Av (7),Queens,34,0,1
2026-04-01 01:00:00,86 St (Q),Manhattan,26,1,1
2026-04-01 01:00:00,"Whitehall St-South Ferry (1,R,W)",Manhattan,4,4,1
2026-04-01 01:00:00,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,11,0,1
2026-04-01 01:00:00,"Carroll St (F,G)",Brooklyn,11,0,1
2026-04-01 01:00:00,"Queens Plaza (E,F,R)",Queens,3,0,1
2026-04-01 01:00:00,145 St (1),Manhattan,3,0,1
2026-04-01 01:00:00,"Nevins St (2,3,4,5)",Brooklyn,2,0,1
2026-04-01 01:00:00,86 St (R),Brooklyn,2,1,1
2026-04-01 01:00:00,"Church Av (B,Q)",Brooklyn,1,0,1
2026-04-01 01:00:00,"Marcy Av (M,J,Z)",Brooklyn,2,0,1
2026-04-01 01:00:00,"Lexington Av/63 St (M,Q)",Manhattan,26,5,1
2026-04-01 01:00:00,207 St (1),Manhattan,2,0,1
2026-04-01 01:00:00,"Chambers St (1,2,3)",Manhattan,3,0,1
2026-04-01 01:00:00,"Coney Island-Stillwell Av (D,F,N,Q)",Brooklyn,1,0,1
2026-04-01 01:00:00,20 Av (D),Brooklyn,4,0,1
2026-04-01 01:00:00,"Marcy Av (M,J,Z)",Brooklyn,24,0,1
2026-04-01 01:00:00,"8 St-NYU (R,W)",Manhattan,1,0,1
2026-04-01 01:00:00,"Kew Gardens-Union Tpke (E,F)",Queens,1,0,1
2026-04-01 01:00:00,Pelham Bay Park (6),Bronx,4,0,1
2026-04-01 01:00:00,Astor Pl (6),Manhattan,49,0,1
2026-04-01 01:00:00,"E 180 St (2,5)",Bronx,3,2,1
2026-04-01 01:00:00,40 St-Lowery St (7),Queens,9,3,1
2026-04-01 01:00:00,Kosciuszko St (J),Brooklyn,1,0,1
2026-04-01 01:00:00,St George (SIR),Staten Island,19,13,1
2026-04-01 01:00:00,"135 St (C,B)",Manhattan,3,0,1
2026-04-01 01:00:00,"50 St (C,E)",Manhattan,5,0,1
2026-04-01 01:00:00,"Utica Av (A,C)",Brooklyn,1,0,1
2026-04-01 01:00:00,238 St (1),Bronx,4,1,1
2026-04-01 01:00:00,157 St (1),Manhattan,1,0,1
2026-04-01 01:00:00,Astor Pl (6),Manhattan,3,0,1
2026-04-01 01:00:00,79 St (D),Brooklyn,5,0,1
2026-04-01 01:00:00,Halsey St (L),Queens,1,0,1
2026-04-01 01:00:00,"Church Av (F,G)",Brooklyn,1,1,1
2026-04-01 01:00:00,Parsons Blvd (F),Queens,1,0,1
2026-04-01 01:00:00,34 St-Hudson Yards (7),Manhattan,2,0,1
2026-04-01 01:00:00,"14 St-Union Sq (4,5,6,L,N,Q,R,W)",Manhattan,4,0,1
2026-04-01 01:00:00,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,2,0,1
2026-04-01 01:00:00,"Hewes St (M,J)",Brooklyn,1,0,1
2026-04-01 01:00:00,Norwood-205 St (D),Bronx,1,1,1
2026-04-01 01:00:00,Sutphin Blvd (F),Queens,1,0,1
2026-04-01 01:00:00,Broadway (G),Brooklyn,11,1,1
2026-04-01 01:00:00,Eastchester-Dyre Av (5),Bronx,1,0,1
2026-04-01 01:00:00,Avenue H (Q),Brooklyn,2,0,1
2026-04-01 01:00:00,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,6,0,1
2026-04-01 01:00:00,"170 St (B,D)",Bronx,19,0,1
2026-04-01 01:00:00,Parsons Blvd (F),Queens,6,2,1
2026-04-01 01:00:00,77 St (6),Manhattan,3,0,1
2026-04-01 01:00:00,"Intervale Av (2,5)",Bronx,6,0,1
2026-04-01 01:00:00,Cortelyou Rd (Q),Brooklyn,1,0,1
2026-04-01 01:00:00,"14 St/6 Av (1,2,3,L,F,M)",Manhattan,3,0,1
2026-04-01 01:00:00,Bedford-Nostrand Avs (G),Brooklyn,1,0,1
2026-04-01 01:00:00,155 St (C),Manhattan,4,1,1
2026-04-01 01:00:00,"135 St (C,B)",Manhattan,1,0,1
2026-04-01 01:00:00,"81 St-Museum of Natural History (C,B)",Manhattan,11,0,1
2026-04-01 01:00:00,"Nostrand Av (A,C)",Brooklyn,1,0,1
2026-04-01 01:00:00,New Lots Av (3),Brooklyn,1,0,1
2026-04-01 01:00:00,Elder Av (6),Bronx,1,0,1
2026-04-01 01:00:00,"14 St/6 Av (1,2,3,L,F,M)",Manhattan,5,0,1
2026-04-01 01:00:00,1 Av (L),Manhattan,3,0,1
2026-04-01 01:00:00,Halsey St (L),Queens,1,0,1
2026-04-01 01:00:00,"Canal St (A,C,E)",Manhattan,1,0,1
2026-04-01 01:00:00,Beach 67 St (A),Queens,5,0,1
2026-04-01 01:00:00,Myrtle-Willoughby Avs (G),Brooklyn,4,0,1
2026-04-01 01:00:00,181 St (1),Manhattan,2,0,1
2026-04-01 01:00:00,"Broadway (N,W)",Queens,1,0,1
2026-04-01 01:00:00,Wakefield-241 St (2),Bronx,3,0,1
2026-04-01 01:00:00,"Church Av (B,Q)",Brooklyn,1,0,1
2026-04-01 01:00:00,Flushing-Main St (7),Queens,4,2,1
2026-04-01 01:00:00,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,32,0,1
2026-04-01 01:00:00,Atlantic Av (L),Brooklyn,2,0,1
2026-04-01 01:00:00,"Prince St (R,W)",Manhattan,2,0,1
2026-04-01 01:00:00,103 St (1),Manhattan,9,0,1
2026-04-01 01:00:00,Christopher St-Stonewall (1),Manhattan,2,0,1
2026-04-01 01:00:00,Christopher St-Stonewall (1),Manhattan,2,0,1
2026-04-01 01:00:00,145 St (3),Manhattan,3,0,1
2026-04-01 01:00:00,"Queensboro Plaza (7,N,W)",Queens,2,0,1
2026-04-01 01:00:00,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,96,0,1
2026-04-01 01:00:00,"57 St-7 Av (N,Q,R,W)",Manhattan,31,0,1
2026-04-01 01:00:00,Tompkinsville (SIR),Staten Island,1,0,1
2026-04-01 01:00:00,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,4,0,1
2026-04-01 01:00:00,"170 St (B,D)",Bronx,6,0,1
2026-04-01 01:00:00,"167 St (B,D)",Bronx,6,0,1
2026-04-01 01:00:00,"Gun Hill Rd (2,5)",Bronx,2,0,1
2026-04-01 01:00:00,Junction Blvd (7),Queens,1,0,1
2026-04-01 01:00:00,"Canal St (6,J,Z,N,Q,R,W)",Manhattan,2,0,1
2026-04-01 01:00:00,Beach 25 St (A),Queens,1,0,1
2026-04-01 01:00:00,Roosevelt Island (M),Manhattan,2,0,1
2026-04-01 01:00:00,Marble Hill-225 St (1),Manhattan,2,0,1
2026-04-01 01:00:00,"174 St (2,5)",Bronx,10,1,1
2026-04-01 01:00:00,Avenue U (N),Brooklyn,1,0,1
2026-04-01 01:00:00,Fresh Pond Rd (M),Queens,2,0,1
2026-04-01 01:00:00,"28 St (R,W)",Manhattan,35,0,1
2026-04-01 01:00:00,238 St (1),Bronx,1,0,1
